L2,L2,L1,X,X
X,H2,H1,X,X
L1,X,H2,L2,S
L2,S,L2,H2,X
L1,H1,L1,L1,L2
L1,L1,X,X,L2
X,L1,H2,S,L2
X,L1,X,L2,S
L1,L2,L1,H2,L1
L1,L1,L2,L2,L1
H2,L2,X,H2,H2
L2,X,L2,L2,X
S,X,X,L1,H2
X,X,S,L1,X
L2,L2,X,H1,L2
X,H2,L2,L2,H2
L1,X,H2,S,L1
H1,X,X,H2,X
H1,S,S,X,L2
X,L1,H1,L2,L2
H2,H1,L2,H1,L2
L2,X,L2,L1,H2
X,L2,X,L1,H1
X,X,H2,H1,L1
X,X,H2,X,L1
L2,X,L1,H2,X
X,L1,X,X,X
X,X,X,L2,L2
L1,H1,X,L1,X
L2,S,H2,X,H1
L2,H2,L1,X,H2
H2,L1,L1,H2,X
S,L2,X,S,L1
X,H2,S,X,X
X,X,L2,X,H2
H2,X,X,X,L1
S,H2,L1,L1,S
H2,L2,L2,X,H1
H1,L2,X,L2,X
H2,H2,H1,X,X
